Rama;Empleados georreferenciados;Empleados totales;Proporción georreferenciada
Adm. pública y defensa;437728;661943;66,13%
Act. Administrativas;139458;266410;52,35%
Agro;9192;18277;50,29%
Agua y saneamiento;16605;31324;53,01%
Asociaciones;94746;146526;64,66%
Comercio;254633;440617;57,79%
Construcción;76490;159055;48,09%
Cultura y recreación;22344;40930;54,59%
Electricidad y gas;8968;15373;58,34%
Enseñanza;291301;569662;51,14%
Finanzas;86444;136094;63,52%
Hotelería y restaurantes;64442;114007;56,52%
Industria;304337;539520;56,41%
Información y comunicaciones;102681;161238;63,68%
Petróleo y minería;7818;13664;57,22%
Salud;117823;223528;52,71%
Ss. Inmobiliarios;17717;29338;60,39%
Ss. Profesionales;67247;109888;61,20%
Transporte;137829;248044;55,57%
Total;2257803;3925438;57,52%
