Departamento;Empleados georreferenciados;Empleados totales;Proporción georreferenciada
Cañuelas;9234;11619;79,47%
CABA;880133;1150753;76,48%
Almirante Brown;81592;127093;64,20%
Malvinas Argentinas;52776;83936;62,88%
Presidente Perón;10217;16282;62,75%
La Matanza;186525;300481;62,08%
General Las Heras;2158;3623;59,56%
Vicente López;46647;79507;58,67%
Esteban Echeverría;39322;67095;58,61%
San Vicente;7843;13741;57,08%
Morón;44586;78278;56,96%
San Isidro;47764;85435;55,91%
Tigre;53486;96702;55,31%
Merlo;54537;107521;50,72%
Quilmes;71559;141646;50,52%
Tres de Febrero;54178;107643;50,33%
José C. Paz;31520;62875;50,13%
Lomas de Zamora;74576;148960;50,06%
Avellaneda;50047;100184;49,96%
Lanús;58735;120255;48,84%
Pilar;36745;75590;48,61%
Brandsen;3317;6831;48,56%
General San Martín;51520;106434;48,41%
Escobar;27386;58659;46,69%
Hurlingham;20497;44651;45,90%
Moreno;37102;87179;42,56%
Berazategui;31008;75387;41,13%
General Rodríguez;8544;21222;40,26%
Ezeiza;17209;43104;39,92%
San Miguel;29663;74603;39,76%
San Fernando;16910;45130;37,47%
Marcos Paz;4006;11223;35,69%
Florencio Varela;27891;81748;34,12%
Ituzaingó;13370;42000;31,83%
La Plata;66933;215927;31,00%
Berisso;6142;25053;24,52%
Ensenada;3182;15797;20,14%
Total;2258860;3934167;57,42%
